equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15541,247,4/22/2024 10:15,0422-0247-01217,0.01
e15541,247,4/22/2024 10:16,0422-0247-01210,0.01
e15541,247,4/22/2024 10:16,0422-0247-01223,0.011
e15541,247,4/22/2024 10:16,0422-0247-01220,65.535
e15541,247,4/22/2024 10:16,0422-0247-01236,0.006
e15541,247,4/22/2024 10:16,0422-0247-01242,0.013
e15541,247,4/22/2024 10:17,0422-0247-01241,0.006
e15541,247,4/22/2024 10:17,0422-0247-01249,0.003
e15541,247,4/22/2024 10:17,0422-0247-01254,0.01
e15541,247,4/22/2024 10:17,0422-0247-01256,0.007
e15541,247,4/22/2024 10:17,0422-0247-01252,0.011
e15541,247,4/22/2024 10:18,0422-0247-01272,0.008
e15541,247,4/22/2024 10:18,0422-0247-01278,0.001
e15541,247,4/22/2024 10:18,0422-0247-01265,0.009
e15541,247,4/22/2024 10:18,0422-0247-01290,0
e15541,247,4/22/2024 10:18,0422-0247-01276,0.009
e15541,247,4/22/2024 10:19,0422-0247-01273,0.008
e15541,247,4/22/2024 10:19,0422-0247-01292,0.005
e15541,247,4/22/2024 10:19,0422-0247-01302,0.014
e15541,247,4/22/2024 10:19,0422-0247-01296,65.529
e15541,247,4/22/2024 10:20,0422-0247-01308,65.533
e15541,247,4/22/2024 10:20,0422-0247-01291,0.009
e15541,247,4/22/2024 10:20,0422-0247-01303,0.011
e15541,247,4/22/2024 10:20,0422-0247-01312,0.005
e15541,247,4/22/2024 10:20,0422-0247-01311,0.011
e15541,247,4/22/2024 10:21,0422-0247-01313,0.025
e15541,247,4/22/2024 10:21,0422-0247-01314,0.007
e15541,247,4/22/2024 10:21,0422-0247-01339,0.016
e15541,247,4/22/2024 10:21,0422-0247-01335,65.534
e15541,247,4/22/2024 10:21,0422-0247-01345,0.01
e15541,247,4/22/2024 10:22,0422-0247-01334,0.013
e15541,247,4/22/2024 10:22,0422-0247-01331,0.012
e15541,247,4/22/2024 10:22,0422-0247-01332,0.005
e15541,247,4/22/2024 10:23,0422-0247-01361,0.012
e15541,247,4/22/2024 10:23,0422-0247-01344,0.005
e15541,247,4/22/2024 10:23,0422-0247-01356,0.001
e15541,247,4/22/2024 10:23,0422-0247-01374,0.005
e15541,247,4/22/2024 10:23,0422-0247-01360,0.013
e15541,247,4/22/2024 10:23,0422-0247-01371,0.011
e15541,247,4/22/2024 10:24,0422-0247-01368,0.008
e15541,247,4/22/2024 10:24,0422-0247-01378,0.012
e15541,247,4/22/2024 10:24,0422-0247-01375,0.014
e15541,247,4/22/2024 10:24,0422-0247-01380,0.01
e15541,247,4/22/2024 10:24,0422-0247-01389,0.008
e15541,247,4/22/2024 10:25,0422-0247-01387,0.018
e15541,247,4/22/2024 10:25,0422-0247-01404,0.007
e15541,247,4/22/2024 10:25,0422-0247-01411,0.018
e15541,247,4/22/2024 10:25,0422-0247-01399,0.006
e15541,247,4/22/2024 10:26,0422-0247-01415,0.034
